name,value,date
Java,24.48,2002_08_29
Java,24.20,2002_09_30
Java,24.12,2002_10_29
Java,24.23,2002_11_31
Java,24.79,2003_00_31
Java,24.78,2003_01_28
Java,24.60,2003_02_31
Java,24.66,2003_03_30
Java,23.11,2003_04_30
Java,22.34,2003_05_30
Java,23.21,2003_06_31
Java,22.24,2003_07_31
Java,21.90,2003_08_30
Java,23.08,2003_09_31
Java,25.01,2003_10_30
Java,23.57,2003_11_31
Java,22.56,2004_00_31
Java,23.17,2004_01_29
Java,24.24,2004_02_31
Java,18.69,2004_03_30
Java,17.54,2004_04_30
Java,17.05,2004_05_30
Java,17.00,2004_06_31
Java,15.90,2004_07_30
Java,17.05,2004_08_30
Java,14.80,2004_09_31
Java,16.33,2004_10_30
Java,17.48,2004_11_31
Java,18.34,2005_00_31
Java,18.87,2005_01_28
Java,16.98,2005_02_31
Java,17.40,2005_03_30
Java,18.57,2005_04_31
Java,19.66,2005_05_30
Java,21.21,2005_06_31
Java,22.44,2005_07_31
Java,21.87,2005_08_30
Java,22.13,2005_11_03
Java,22.25,2006_00_04
Java,22.43,2006_01_02
Java,21.89,2006_02_01
Java,21.28,2006_03_02
Java,21.32,2006_04_01
Java,21.13,2006_05_01
Java,21.85,2006_06_02
Java,22.38,2006_07_02
Java,21.53,2006_08_02
Java,21.17,2006_09_01
Java,20.40,2006_10_02
Java,19.91,2006_11_01
Java,19.16,2007_00_02
Java,18.98,2007_01_03
Java,18.04,2007_02_03
Java,18.36,2007_03_01
Java,19.14,2007_04_05
Java,20.03,2007_05_02
Java,21.01,2007_06_02
Java,21.77,2007_07_05
Java,21.70,2007_08_02
Java,21.62,2007_09_04
Java,20.54,2007_10_04
Java,20.05,2007_11_03
Java,20.85,2008_00_03
Java,21.48,2008_01_07
Java,20.89,2008_05_01
Java,21.34,2008_06_02
Java,21.57,2008_07_03
Java,20.71,2008_08_03
Java,20.95,2008_09_06
Java,20.30,2008_10_02
Java,17.92,2008_11_03
Java,19.02,2009_00_02
Java,19.40,2009_01_01
Java,19.80,2009_02_05
Java,19.34,2009_03_07
Java,19.54,2009_04_01
Java,20.15,2009_05_04
Java,20.45,2009_06_02
Java,19.53,2009_07_01
Java,19.38,2009_08_05
Java,18.65,2009_09_02
Java,18.37,2009_10_02
Java,17.06,2009_11_02
Java,17.48,2010_00_05
Java,17.35,2010_01_07
Java,17.51,2010_02_07
Java,18.05,2010_03_05
Java,17.96,2010_04_15
Java,18.67,2010_06_06
Java,17.99,2010_06_30
Java,17.92,2010_08_11
Java,18.17,2010_09_02
Java,18.51,2010_10_03
Java,18.00,2010_11_07
Java,17.77,2011_00_02
Java,18.48,2011_01_08
Java,19.71,2011_02_08
Java,19.04,2011_03_03
Java,18.16,2011_04_02
Java,18.58,2011_05_05
Java,18.58,2011_05_27
Java,19.25,2011_06_08
Java,19.41,2011_07_03
Java,18.76,2011_08_10
Java,17.91,2011_09_09
Java,17.87,2011_10_07
Java,17.56,2011_11_04
Java,17.47,2012_00_08
Java,17.05,2012_01_05
Java,17.11,2012_02_11
Java,17.03,2012_03_08
Java,16.60,2012_04_09
Java,16.26,2012_05_10
Java,16.09,2012_06_04
Java,16.35,2012_07_10
Java,16.27,2012_08_02
Java,17.19,2012_09_05
Java,17.46,2012_10_04
Java,17.57,2012_11_02
Java,17.42,2013_00_05
Java,18.39,2013_01_08
Java,18.16,2013_02_11
Java,17.68,2013_03_07
Java,16.91,2013_04_08
Java,16.66,2013_05_09
